"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 11, 2018","0.000086","0.000091","0.000092","0.000085","1.63M","-4.04%"
"Sep 10, 2018","0.000090","0.000089","0.000095","0.000089","1.22M","1.12%"
"Sep 09, 2018","0.000089","0.000086","0.000091","0.000083","1.17M","3.54%"
"Sep 08, 2018","0.000086","0.000088","0.000091","0.000084","1.41M","-3.03%"
"Sep 07, 2018","0.000089","0.000092","0.000095","0.000087","1.43M","-4.05%"
"Sep 06, 2018","0.000092","0.000087","0.000093","0.000083","3.47M","7.31%"
"Sep 05, 2018","0.000086","0.000095","0.000097","0.000084","4.17M","-9.64%"
"Sep 04, 2018","0.000095","0.000096","0.000101","0.000095","1.35M","-0.96%"
"Sep 03, 2018","0.000096","0.000100","0.000100","0.000095","1.87M","-1.93%"
"Sep 02, 2018","0.000098","0.000103","0.000103","0.000097","1.70M","-4.97%"
"Sep 01, 2018","0.000103","0.000101","0.000107","0.000101","1.57M","1.91%"
"Aug 31, 2018","0.000101","0.000103","0.000105","0.000099","2.12M","-1.58%"
"Aug 30, 2018","0.000103","0.000103","0.000104","0.000097","3.50M","-1.49%"
"Aug 29, 2018","0.000104","0.000108","0.000114","0.000103","3.53M","-3.79%"
"Aug 28, 2018","0.000108","0.000097","0.000111","0.000095","6.58M","11.24%"
"Aug 27, 2018","0.000098","0.000084","0.000100","0.000084","9.20M","15.58%"
"Aug 26, 2018","0.000084","0.000080","0.000086","0.000078","1.82M","5.02%"
"Aug 25, 2018","0.000080","0.000078","0.000081","0.000078","1.47M","3.46%"
"Aug 24, 2018","0.000078","0.000078","0.000079","0.000076","1.51M","0.00%"
"Aug 23, 2018","0.000078","0.000075","0.000079","0.000075","1.58M","3.08%"
"Aug 22, 2018","0.000075","0.000080","0.000082","0.000073","3.95M","-5.47%"
"Aug 21, 2018","0.000080","0.000079","0.000083","0.000078","2.52M","0.00%"
"Aug 20, 2018","0.000079","0.000083","0.000084","0.000079","2.70M","-3.96%"
"Aug 19, 2018","0.000083","0.000078","0.000088","0.000076","3.24M","6.20%"
"Aug 18, 2018","0.000078","0.000085","0.000087","0.000074","3.25M","-8.07%"
"Aug 17, 2018","0.000085","0.000074","0.000086","0.000074","3.83M","14.74%"
"Aug 16, 2018","0.000074","0.000070","0.000074","0.000069","2.47M","4.38%"
"Aug 15, 2018","0.000071","0.000073","0.000078","0.000070","4.58M","-2.62%"
"Aug 14, 2018","0.000073","0.000073","0.000074","0.000068","5.37M","-1.29%"
"Aug 13, 2018","0.000073","0.000085","0.000086","0.000073","4.77M","-14.09%"
"Aug 12, 2018","0.000086","0.000083","0.000088","0.000083","1.63M","2.88%"
"Aug 11, 2018","0.000083","0.000093","0.000094","0.000082","7.91M","-10.65%"
"Aug 10, 2018","0.000093","0.000098","0.000099","0.000088","4.64M","-4.61%"
"Aug 09, 2018","0.000098","0.000098","0.000103","0.000096","2.11M","0.00%"
"Aug 08, 2018","0.000098","0.000107","0.000107","0.000095","7.49M","-8.68%"
"Aug 07, 2018","0.000107","0.000113","0.000116","0.000098","12.66M","-4.97%"
"Aug 06, 2018","0.000113","0.000129","0.000131","0.000110","4.57M","-13.03%"
"Aug 05, 2018","0.000129","0.000121","0.000146","0.000121","4.73M","6.84%"
"Aug 04, 2018","0.000121","0.000129","0.000132","0.000117","2.88M","-6.35%"
"Aug 03, 2018","0.000129","0.000117","0.000130","0.000106","9.48M","10.18%"
"Aug 02, 2018","0.000117","0.000122","0.000122","0.000117","1.11M","-3.54%"
"Aug 01, 2018","0.000122","0.000122","0.000124","0.000120","776.01K","0.00%"
"Jul 31, 2018","0.000122","0.000119","0.000122","0.000118","1.01M","1.82%"
"Jul 30, 2018","0.000119","0.000123","0.000124","0.000119","1.13M","-2.67%"
"Jul 29, 2018","0.000123","0.000125","0.000125","0.000122","220.89K","-1.64%"
"Jul 28, 2018","0.000125","0.000124","0.000126","0.000122","495.19K","0.52%"
"Jul 27, 2018","0.000124","0.000128","0.000132","0.000122","1.20M","-3.36%"
"Jul 26, 2018","0.000128","0.000121","0.000130","0.000120","2.01M","6.58%"
"Jul 25, 2018","0.000121","0.000117","0.000122","0.000117","1.09M","2.83%"
"Jul 24, 2018","0.000117","0.000120","0.000123","0.000115","2.47M","-2.71%"
"Jul 23, 2018","0.000120","0.000132","0.000133","0.000120","2.57M","-8.49%"
"Jul 22, 2018","0.000132","0.000135","0.000135","0.000130","963.56K","-2.56%"
"Jul 21, 2018","0.000135","0.000131","0.000137","0.000130","840.48K","3.15%"
"Jul 20, 2018","0.000131","0.000139","0.000139","0.000130","2.43M","-6.07%"
"Jul 19, 2018","0.000139","0.000147","0.000147","0.000139","1.80M","-5.45%"
"Jul 18, 2018","0.000147","0.000155","0.000157","0.000147","3.33M","-4.67%"
"Jul 17, 2018","0.000155","0.000162","0.000165","0.000153","2.14M","-4.72%"
"Jul 16, 2018","0.000162","0.000157","0.000166","0.000156","1.43M","3.11%"
"Jul 15, 2018","0.000157","0.000156","0.000159","0.000155","341.81K","0.65%"
"Jul 14, 2018","0.000156","0.000155","0.000157","0.000154","239.27K","1.12%"
"Jul 13, 2018","0.000155","0.000155","0.000160","0.000154","470.00K","0.00%"
"Jul 12, 2018","0.000155","0.000157","0.000158","0.000153","1.14M","-1.48%"
"Jul 11, 2018","0.000157","0.000152","0.000158","0.000150","1.25M","3.55%"
"Jul 10, 2018","0.000152","0.000156","0.000156","0.000150","1.70M","-2.41%"
"Jul 09, 2018","0.000155","0.000161","0.000162","0.000155","803.23K","-3.72%"
"Jul 08, 2018","0.000161","0.000163","0.000168","0.000160","1.01M","-0.87%"
"Jul 07, 2018","0.000163","0.000159","0.000165","0.000158","795.15K","2.09%"
"Jul 06, 2018","0.000159","0.000177","0.000177","0.000157","2.06M","-9.72%"
"Jul 05, 2018","0.000177","0.000185","0.000185","0.000171","1.75M","-4.41%"
"Jul 04, 2018","0.000185","0.000176","0.000187","0.000171","2.21M","4.94%"
"Jul 03, 2018","0.000176","0.000177","0.000185","0.000173","1.95M","-0.78%"
"Jul 02, 2018","0.000177","0.000168","0.000179","0.000164","1.73M","5.32%"
"Jul 01, 2018","0.000168","0.000158","0.000168","0.000156","1.16M","6.79%"
"Jun 30, 2018","0.000158","0.000155","0.000160","0.000155","989.92K","1.66%"
"Jun 29, 2018","0.000155","0.000157","0.000159","0.000152","2.09M","-1.01%"
"Jun 28, 2018","0.000157","0.000161","0.000163","0.000155","1.77M","-2.73%"
"Jun 27, 2018","0.000161","0.000154","0.000164","0.000153","1.44M","4.36%"
"Jun 26, 2018","0.000154","0.000163","0.000164","0.000153","1.60M","-5.11%"
"Jun 25, 2018","0.000163","0.000159","0.000168","0.000156","1.84M","2.43%"
"Jun 24, 2018","0.000159","0.000169","0.000169","0.000154","2.60M","-5.74%"
"Jun 23, 2018","0.000169","0.000161","0.000171","0.000160","1.45M","4.91%"
"Jun 22, 2018","0.000161","0.000173","0.000174","0.000157","3.95M","-6.90%"
